Shimmer_3B52_Timestamp_Shimmer_CAL,Shimmer_3B52_Accel_LN_X_CAL,Shimmer_3B52_Accel_LN_Y_CAL,Shimmer_3B52_Accel_LN_Z_CAL,Shimmer_3B52_Accel_WR_X_CAL,Shimmer_3B52_Accel_WR_Y_CAL,Shimmer_3B52_Accel_WR_Z_CAL,Shimmer_3B52_GSR_Range_CAL,Shimmer_3B52_GSR_Skin_Conductance_CAL,Shimmer_3B52_GSR_Skin_Resistance_CAL,Shimmer_3B52_Gyro_X_CAL,Shimmer_3B52_Gyro_Y_CAL,Shimmer_3B52_Gyro_Z_CAL,Shimmer_3B52_Mag_X_CAL,Shimmer_3B52_Mag_Y_CAL,Shimmer_3B52_Mag_Z_CAL,Shimmer_3B52_PPG_A12_CAL
812347.2595,1.989130435,10.82608696,1.847826087,0.05984440455,10.24536206,0.1651705566,3,0.004662004662,214500,-0.4885496183,1.86259542,-0.8854961832,-0.2428785607,0.7856071964,1.15892054,1476.190476
812352.2034,1.989130435,10.83695652,1.836956522,0.04787552364,10.31717534,0.1819269898,3,0.004662004662,214500,-0.5038167939,1.496183206,-0.7786259542,-0.2428785607,0.7856071964,1.15892054,1473.260073
812357.1472,1.989130435,10.83695652,1.815217391,0.03351286655,10.26690604,0.1292639138,3,0.00555000555,180180,-0.5038167939,1.847328244,-0.9923664122,-0.2458770615,0.7796101949,1.166416792,1479.85348
812362.0911,1.956521739,10.82608696,1.815217391,0.04787552364,10.25972472,0.157989228,3,0.005106005106,195847.8261,-0.5038167939,2.198473282,-0.8091603053,-0.2458770615,0.7796101949,1.166416792,1481.318681
812367.0349,2.010869565,10.83695652,1.847826087,0.03590664273,10.25493716,0.1699581089,3,0.005106005106,195847.8261,-0.3969465649,2.244274809,-0.6717557252,-0.2503748126,0.784107946,1.15892054,1477.655678
812371.9788,1.97826087,10.81521739,1.826086957,0.052663076,10.30520646,0.1675643327,3,0.005106005106,195847.8261,-0.6870229008,2.13740458,-0.8091603053,-0.2503748126,0.784107946,1.15892054,1479.120879
812376.9226,1.989130435,10.82608696,1.847826087,0.03830041891,10.30281269,0.1292639138,3,0.005106005106,195847.8261,-0.7938931298,1.969465649,-0.7938931298,-0.2443778111,0.7826086957,1.163418291,1476.190476
812381.8665,1.989130435,10.83695652,1.836956522,0.08138839019,10.27408737,0.1962896469,3,0.004662004662,214500,-0.6259541985,1.618320611,-0.641221374,-0.2443778111,0.7826086957,1.163418291,1474.725275
812386.8103,1.989130435,10.83695652,1.836956522,0.01196888091,10.28366248,0.1603830042,3,0.004662004662,214500,-0.8854961832,1.770992366,-0.7786259542,-0.2458770615,0.7796101949,1.15892054,1472.527473
812391.7542,1.989130435,10.83695652,1.793478261,0.05026929982,10.32675045,0.1603830042,3,0.004662004662,214500,-0.7022900763,1.984732824,-0.8854961832,-0.2458770615,0.7796101949,1.15892054,1480.586081
